Dyads,neuroData,cond,feltDepth_avg,feltDepth_High1Low0,ConnectionComp_avg,Connection_High1Low0,DMNcnv,FPNcnv,VATcnv,DATcnv,L_dlPFC_less,R_dlPFC_less,mPFC_less,L_TPJ,R_TPJ,L_SPL,R_SPL
5780,1,0,1,0,2.166666667,0,0.061999156,0.035240371,-0.025417883,0.009814589,0.13361,0.07527,0.051047502,-0.044198486,-0.069046525,-0.020346674,0.011120916
5790,1,0,3.5,1,3.166666667,0,0.1124037,-0.088142832,0.000225768,,-0.03111,0.00701,0.067529383,-0.002194743,NaN,NaN,NaN
5830,1,0,1,0,3,0,0.044970373,0.071587511,0.026706623,-0.080613369,0.13658,0.16153,0.059315799,0.003133966,-0.092440054,-0.044750387,-0.106139238
5840,1,0,2.5,0,3.166666667,0,-0.013339534,-0.044243415,0.060082398,,0.05625,-0.01531,0.040525844,-0.048011312,-0.072045259,NaN,0.112796408
5850,1,0,2,0,3,0,0.222549766,0.22466688,0.146887223,0.143112915,0.17704,0.17398,0.197651717,0.115885182,0.148663308,0.163262188,0.053833286
6110,1,1,4,1,3,0,-0.119602978,-0.023064728,-0.066373262,,-0.01845,-0.02510,-0.118006579,-0.008514463,-0.158800519,NaN,NaN
6120,1,1,3,1,3.666666667,1,0.30094707,0.113405476,0.312710805,0.010327591,0.07226,0.23267,0.269607405,0.182554222,0.141098223,-0.103248742,0.079135463
6130,1,1,3.5,1,3.5,1,-0.130218924,-0.040147384,-0.089151425,,-0.12818,-0.08806,-0.115888141,-0.007950306,-0.025575153,NaN,0.006504414
6140,1,1,3,1,3.166666667,0,-0.210637014,-0.24854073,-0.226991829,-0.222090458,-0.10817,-0.15433,-0.208857263,-0.18655265,-0.097906659,-0.293955231,-0.118566527
6150,1,1,2.5,0,3.166666667,0,-0.00402572,-0.090075878,0.023324563,-0.149365397,0.03507,0.00712,0.070183077,0.08862531,-0.06748469,NaN,-0.061043024
6160,1,1,3.5,1,3.833333333,1,-0.017633005,-0.062647721,-0.034748297,-0.071467092,-0.12167,-0.03862,-0.015839002,0.00623728,-0.031508239,-0.120216711,-0.016654826
6170,1,1,3.5,1,3.666666667,1,0.051646562,0.132295293,-0.0412864,0.118648295,0.08210,0.00032,0.11961249,-0.028001541,0.004566741,0.003356884,0.129776706
6190,1,1,4,1,4.333333333,1,-0.001302479,-0.177828062,-0.170643227,,-0.24977,-0.16110,-0.097962655,0.016660775,0.010981425,NaN,NaN
6210,1,1,3,1,3.166666667,0,-0.134158519,-0.05423369,-0.022219696,-0.01156161,-0.04519,-0.10033,-0.139606592,0.068872013,-0.031729217,-0.076652543,0.048147534
6220,1,1,3.5,1,3,0,-0.066999529,-0.147989371,-0.147459148,,-0.07142,-0.17886,-0.078703361,-0.119786029,-0.011770724,NaN,-0.089061581
6410,1,1,3.5,1,3.666666667,1,0.018858204,0.074331232,0.147008758,0.057393542,0.09650,0.05061,0.081983058,0.19179637,-0.069108062,NaN,0.018349367
6420,1,1,3,1,3.333333333,1,0.151291035,-0.069257268,-0.048136416,-0.075912954,0.03511,0.03044,0.002109757,-0.117537753,0.039026353,-0.132621297,-0.101889409
6430,1,1,3,1,3.333333333,1,-0.094542059,-0.110102769,0.008082987,-0.057994068,-0.00381,-0.08974,-0.06565345,0.050306718,-0.122003347,-0.038132252,-0.101518487
6440,1,1,3,1,3.833333333,1,0.362341934,0.232929716,0.189208856,0.028039128,0.27337,0.26047,0.352859718,0.188378596,0.079225646,-0.092450024,0.072628492
6450,1,1,2.5,0,3.166666667,0,0.042743799,-0.05496734,-0.019824263,,-0.07950,-0.14394,0.072396829,0.052742499,-0.088495698,NaN,-0.099404062
6460,1,1,2.5,0,3.333333333,1,0.031232008,0.112282603,0.009133552,-0.082868146,0.16168,0.15941,0.044703523,-0.08279343,-0.077745932,-0.051119253,-0.053671021
6470,1,1,3,1,3,0,-0.062712152,-0.090708024,-0.175555043,0.089656318,-0.18883,-0.15097,-0.080405995,0.069369934,0.062166517,0.021746858,0.0966273
6480,1,1,2,0,2.833333333,0,0.062194235,0.036145458,0.007914568,-0.068199609,0.06754,0.12095,0.089103503,-0.048174624,-0.082389652,0.07134885,-0.072343654
6490,1,1,2.5,0,3.666666667,1,0.057228393,0.007682997,0.146422475,-0.005831822,0.12190,0.08521,-0.014823692,-0.039409373,0.131916262,0.003621219,-0.061243326
6710,1,1,3.5,1,3.5,1,0.013669996,0.270756059,0.127151493,0.06403027,0.29876,0.11943,-0.005569399,0.076894169,0.058966347,0.056648072,NaN
6730,1,1,3.5,1,3.5,1,-0.067407235,0.05288367,-0.051901108,0.114040304,0.00377,-0.00443,-0.028225863,-0.002250035,0.038746163,0.105604969,0.062954678
6760,1,1,1.5,0,3,0,-0.268244741,-0.261377647,-0.34274084,-0.163845762,-0.25213,-0.21531,-0.252760775,-0.277096431,-0.129568092,-0.128667501,-0.176523564
6770,1,1,3,1,3.166666667,0,0.156662016,0.039833764,0.02388642,,0.04693,-0.03597,0.120983662,0.049875486,0.133725335,NaN,0.106700113
6790,1,1,2.5,0,3.333333333,1,-0.114332629,-0.031259726,-0.179694279,,-0.04004,-0.06626,-0.05577568,-0.14630325,-0.186436123,NaN,-0.143350867
6810,1,1,4,1,4.333333333,1,0.060968697,-0.013940621,-0.000923606,0.014991508,-0.01432,0.02480,0.011442293,-0.038375119,0.071073765,0.011786895,0.010323566
6820,1,1,3,1,4,1,-0.021330744,0.011385292,0.011947922,-0.120512084,0.02768,-0.13774,-0.020459882,0.012617762,0.050332864,NaN,-0.163855247
6830,1,1,3,1,2.666666667,0,-0.232473196,-0.213984971,-0.137797661,0.129965286,-0.20524,-0.28620,-0.164311805,-0.07602848,-0.147316185,NaN,0.107409896
6840,1,1,3.5,1,3.833333333,1,0.10468341,0.069728975,0.004266605,,0.10911,0.04683,0.097914242,-0.028230129,0.037527809,NaN,0.025397331
6850,1,1,2.5,0,3.5,1,-0.081051873,-0.148491168,-0.10620669,,-0.11003,-0.01563,-0.100142888,-0.069440365,-0.02515304,NaN,-0.075259858
